Date,total_load,car1,grid,solar,air1,drye1,Houseid
1/1/2018,176.044,0.028,108.672,43.4,0,23.944,661
1/2/2018,85.534,0.087,67.082,18.342,0,0.023,661
1/3/2018,115.964,19.263,-27.714,124.375,-0.007,0.047,661
1/4/2018,94.758,12.277,-16.971,99.435,-0.003,0.02,661
1/5/2018,102.675,18.824,-21.634,105.459,-0.005,0.031,661
1/6/2018,120.689,15.902,42.625,62.122,-0.004,0.044,661
1/7/2018,188.743,0.027,131.94,15.959,0,40.817,661
1/8/2018,68.406,0.147,-60.113,128.353,0,0.019,661
1/9/2018,98.261,11.924,-22.199,108.502,-0.003,0.037,661
1/10/2018,89.148,11.959,20.319,56.844,-0.003,0.029,661
1/11/2018,84.658,11.079,5.901,67.662,-0.003,0.019,661
1/12/2018,127.078,25.435,-35.036,136.653,-0.008,0.034,661
1/13/2018,148.483,36.421,-24.207,136.232,-0.011,0.048,661
1/14/2018,134.292,23.129,-21.565,132.697,-0.007,0.038,661
1/15/2018,128.438,23.358,45.241,59.812,-0.006,0.033,661
1/16/2018,102.693,0.064,84.734,17.867,0,0.028,661
1/17/2018,87.082,2.534,-62.932,147.472,-0.002,0.01,661
1/18/2018,126.146,19.248,62.978,43.894,-0.006,0.032,661
1/19/2018,109.266,0.11,73.353,28.843,0,6.96,661
1/20/2018,159.415,0.092,81.929,45.281,0,32.113,661
1/21/2018,134.939,1.888,98.945,14.467,0,19.639,661
1/22/2018,91.664,13.579,-60.019,138.085,-0.003,0.022,661
1/23/2018,94.331,13.434,-44.121,124.997,-0.004,0.025,661
1/24/2018,103.324,19.487,-49.653,133.47,-0.006,0.026,661
1/25/2018,125.177,31.885,-24.286,117.548,-0.009,0.039,661
1/26/2018,93.178,15.735,57.747,19.679,-0.004,0.021,661
1/27/2018,92.23,13.379,42.259,36.572,-0.003,0.023,661
1/28/2018,231.995,48.55,36.093,117.588,-0.014,29.778,661
1/29/2018,101.455,16.103,-54.156,139.482,-0.004,0.03,661
1/30/2018,85.816,12.362,-55.599,129.039,-0.003,0.017,661
1/31/2018,129.169,18.84,-26.595,123.029,-0.005,13.9,661
2/1/2018,92.514,19.264,-7.184,80.418,-0.006,0.022,661
2/2/2018,94.888,13.037,-12.588,94.424,-0.003,0.018,661
2/3/2018,94.696,10.002,63.931,20.753,-0.003,0.013,661
2/4/2018,170.506,17.85,6.523,128.964,-0.005,17.174,661
2/5/2018,86.721,10.073,28.972,47.667,-0.003,0.012,661
2/6/2018,157.309,45.956,104.214,7.095,-0.013,0.057,661
2/7/2018,99.88,14.922,38.239,46.705,-0.004,0.018,661
2/8/2018,124.583,31.125,-22.895,116.322,-0.009,0.04,661
2/9/2018,119.901,26.086,65.807,27.982,-0.006,0.032,661
2/10/2018,130.862,12.506,98.53,13.659,-0.004,6.171,661
2/11/2018,128.75,7.055,91.073,28.996,0.881,0.745,661
2/12/2018,88.185,0.518,-26.002,113.667,0,0.002,661
2/13/2018,117.051,21.408,79.211,16.406,-0.006,0.032,661
2/14/2018,98.495,18.59,33.11,46.771,-0.005,0.029,661
2/15/2018,67.282,11.364,25.672,30.227,0,0.019,661
2/16/2018,89.727,15.489,50.057,24.159,0,0.022,661
2/17/2018,155.935,21.601,82.281,33.175,-0.006,18.884,661
2/18/2018,187.828,17.974,102.733,35.852,-0.005,31.274,661
2/19/2018,68.622,0.161,24.519,39.206,4.732,0.004,661
2/20/2018,90.885,14.253,62.539,10.5,3.576,0.017,661
2/21/2018,61.991,0.075,48.862,12.042,0,1.012,661
2/22/2018,61.9,0.083,48.461,13.356,0,0,661
2/23/2018,189.694,50.466,102.583,29.507,-0.008,7.146,661
2/24/2018,187.52,62.701,96.83,27.901,0,0.088,661
2/25/2018,106.281,0.107,24.419,64.066,0,17.689,661
2/26/2018,79.491,13.53,-42.289,108.231,-0.004,0.023,661
2/27/2018,104.233,28.016,49.942,26.234,-0.006,0.047,661
2/28/2018,81.683,16.459,21.21,43.975,0,0.039,661
3/1/2018,84.269,18.327,-68.768,134.684,0,0.026,661
3/2/2018,81.989,17.184,-42.73,107.513,-0.004,0.026,661
3/3/2018,185.375,53.11,78.075,47.167,-0.01,7.033,661
3/4/2018,46.965,0.13,2.947,43.88,0,0.008,661
3/5/2018,148.526,41.604,30.528,76.326,0,0.068,661
3/6/2018,84.194,9.354,-62.164,136.972,-0.002,0.034,661
3/7/2018,104.41,18.342,-63.857,149.884,-0.004,0.045,661
3/8/2018,92.409,0.118,-28.326,106.175,0,14.442,661
3/9/2018,179.779,47.145,93.924,37.955,-0.014,0.769,661
3/10/2018,227.921,5.719,26.47,132.223,36.244,27.265,661
3/11/2018,165.272,10.596,95.154,29.489,2.731,27.302,661
3/12/2018,126.442,30.619,-49.96,145.742,-0.009,0.05,661
3/13/2018,87.241,10.165,-51.25,128.301,-0.002,0.027,661
3/14/2018,83.74,11.957,-62.852,134.601,-0.003,0.037,661
3/15/2018,143.951,45.517,24.746,73.625,-0.002,0.065,661
3/16/2018,88.396,0.181,-45.315,117.531,16.017,-0.018,661
3/17/2018,123.714,12.47,33.017,64.12,14.094,0.013,661
3/18/2018,155.243,0.101,60.553,64.211,30.411,-0.033,661
3/19/2018,89.509,0.162,-57.881,136.87,10.347,0.011,661
3/20/2018,84.843,12.197,-73.835,146.452,0,0.029,661
3/21/2018,92.954,13.948,-60.056,139.036,-0.004,0.03,661
3/22/2018,94.675,10.938,-33.918,112.727,0,4.928,661
3/23/2018,100.857,18.864,39.147,41.723,1.096,0.027,661
3/24/2018,205.88,13.753,77.882,67.485,20.206,26.554,661
3/25/2018,124.875,0.081,80.246,26.661,14.854,3.033,661
3/26/2018,117.833,0.176,-24.737,117.85,24.567,-0.023,661
3/27/2018,115.262,10.259,37.495,50.837,8.804,7.867,661
3/28/2018,74.737,9.729,37.505,27.467,0,0.036,661
3/29/2018,98.224,12.482,-39.3,119.181,5.837,0.024,661
3/30/2018,102.07,20.272,-64.362,145.074,1.047,0.039,661
3/31/2018,183.261,27.57,39.378,98.269,2.902,15.142,661
4/1/2018,158.187,0.105,50.459,83.321,17.257,7.045,661
4/2/2018,104.49,0.143,14.624,69.212,20.524,-0.013,661
4/3/2018,167.336,12.285,82.871,37.944,34.249,-0.013,661
4/4/2018,75.778,9.344,-75.48,141.038,0.845,0.031,661
4/5/2018,53.739,0.125,-17.514,71.116,0,0.012,661
4/6/2018,81.864,0.148,0.615,66.369,14.744,-0.012,661
4/7/2018,109.968,0.076,61.389,27.565,0,20.938,661
4/8/2018,78.698,0.08,-31.396,105.11,0,4.904,661
4/9/2018,61.413,0.085,18.792,42.5,0,0.036,661
4/10/2018,66.697,0.088,-75.843,141.379,1.026,0.047,661
4/11/2018,90.355,0.076,-58.476,138.938,2.652,7.165,661
4/12/2018,95.595,0.139,-4.824,85.577,14.697,0.006,661
4/13/2018,190.428,27.73,66.263,58.353,22.212,15.87,661
4/14/2018,119.288,0.087,-40.585,138.666,0,21.12,661
4/15/2018,80.942,0.151,-66.755,141.938,0,5.608,661
4/16/2018,97.042,17.724,-65.841,141.054,4.071,0.034,661
4/17/2018,117.655,13.097,-49.266,139.177,14.648,-0.001,661
4/18/2018,153.892,39.648,11.468,92.657,10.075,0.044,661
4/19/2018,84.403,13.473,-65.739,134.376,2.267,0.026,661
4/20/2018,150.786,46.761,2.242,100.642,1.075,0.066,661
4/21/2018,103.34,3.617,72.457,18.773,1.64,6.853,661
4/22/2018,98.889,13.606,-46.205,127.659,3.809,0.02,661
4/23/2018,152.313,31.684,-29.698,133.569,16.743,0.015,661
4/24/2018,179.483,28.75,-6.715,127.154,30.313,-0.019,661
4/25/2018,143.321,27.344,19.293,81.934,14.728,0.022,661
4/26/2018,68.502,3.166,-77.306,137.689,4.952,0.001,661
4/27/2018,103.995,12.654,-33.34,113.983,10.687,0.011,661
4/28/2018,200.287,32.629,7.125,131.05,29.481,0.002,661
